Artist,Artist ID
NAV,7rkW85dBwwrJtlHRDkJDAC
Drake,3TVXtAsR1Inumwj472S9r4
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg
J. Cole,6l3HvQ5sa6mXTsMTB19rO5
Future,1RyvyyTE3xzB2ZywiAwp0i
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
Meek Mill,20sxb77xiYeusSH8cVdatc
Kanye West,5K4W6rqBFWDnAN6FQUkS6x
Young Thug,50co4Is1HCEo8bhOyUWKpn
G-Eazy,02kJSzxNuaWGqwubyUba0Z
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
anders,6G1yTgvoYsuVb2Ja8cVVJ2
SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs
21 Savage,1URnnhqYAYcrqrcwql10ft
Big Sean,0c173mlxpT3dSFRgMO8XPh
Lil Wayne,55Aa2cqylxrFIXC767Z865
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo
YG,0A0FS04o6zMoto8OKPsDwY
Eminem,7dGJo4pcD2V6oG8kP0tJRR
Kevin Gates,1gPhS1zisyXr5dHTYZyiMe
Tyga,5LHRHt1k9lMyONurDHEdrp
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP
Nipsey Hussle,0EeQBlQJFiAfJeVN2vT9s0
Wiz Khalifa,137W8MRPWKqSmrBGDBFSop
THEY.,0pghUohLPptZWBasy2wmUx
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu
DaBaby,4r63FhuTkUYltbVAg5TQnk
Jaden,0xOeVMOz2fVg5BJY3N6akT
Logic,4xRYI6VqpkE3UwrDrAZL8L
Juicy J,5gCRApTajqwbnHHPbr2Fpi
Ty Dolla Sign,7c0XG5cIJTrrAgEC3ULPiq
88GLAM,2I9SLklAOG0vdMiUUMNxRl
Lil Durk,3hcs9uc56yIGFCSy9leWe7
ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m
Preme,0bdJZl7TDeiymDYzMJnVh2
Post Malone,246dkjvS1zLTtiykXe5h60
Iamsu!,2ZavqCJe7uqkRpISes0NFi
Belly,0FOWNUFHPnMy0vOw1siGqi
Pusha T,0ONHkAv9pCAFxb0zJwDNTy
Shoreline Mafia,4tYSBptyGeVyZsk8JC4JHZ
Russ,1z7b1Pr1rSlvWRzsW3HOrS
Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo
Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D
Mustard,0YinUQ50QDB7ZxSCLyQ40k
French Montana,6vXTefBL93Dj5IqAWq6OTv
blackbear,2cFrymmkijnjDg9SS92EPM
Roddy Ricch,757aE44tKEUQEqRuT6GnEB
2 Chainz,17lzZA2AlOHwCwFALHttmp
