,Artist,Artist ID,Album,Album ID,Song,Song ID
0,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Breaking News Intro,spotify:track:0Kj67wCgRtCeh2vnnDVRw6
1,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Friends & Family,spotify:track:4NacsqyQU8nZDIdxShKlpU
2,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Young Wheezy (with Gunna),spotify:track:0DZCRBEqV2GYTWj8OPA49H
3,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Nasty,spotify:track:0oAaQfGlKYKHciaZ3OixSh
4,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Repercussions (with Young Thug),spotify:track:6fEJ1nO1u301h8wbBeB4qu
5,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Vetement Socks,spotify:track:2VmIzQjZFPe595GulPrKw2
6,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Don't Need Friends (feat. Lil Baby),spotify:track:1H7NmkoUHjx5OIyAWXP4C4
7,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Make It Right Back,spotify:track:22KxeuwssvSeDpBwE6MI8e
8,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Trains (with Lil Keed),spotify:track:6fE1d6pUMNJQvXw84Ok1W1
9,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Do Ya Deed (feat. SahBabii),spotify:track:0TGDmislDr98b3n9mXrmxZ
10,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Droppin Tears,spotify:track:5jQjiNRkafMRhIRvc04TKN
11,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Modest,spotify:track:36kS8JH1RnpHSSlMX5g3Du
12,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Turn & Twist,spotify:track:3zaigfIhY0SYRTI4FitFUp
13,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Breaking News Outro,spotify:track:1RGj1C896HnfiICnwmFRoB
14,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Pickney - Bonus Track,spotify:track:6rXByDYcf3kLcsKoemRl7o
15,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami (Bonus Version),spotify:album:3aMMFb7DaFT06VfavwhrPi,Stella McCartney (feat. Future) - Bonus Track,spotify:track:6JSCvphn9kaW6apz7Ogd6d
16,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami,spotify:album:0aT2vaDoEHDBVXDund2QsK,Breaking News Intro,spotify:track:0TiIS91dn4706i8W2L9n5a
17,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami,spotify:album:0aT2vaDoEHDBVXDund2QsK,Friends & Family,spotify:track:02S095WOviUjZgRqWPnOME
18,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami,spotify:album:0aT2vaDoEHDBVXDund2QsK,Young Wheezy (with Gunna),spotify:track:1PjylqbldPpxH3yrqaSZ12
19,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami,spotify:album:0aT2vaDoEHDBVXDund2QsK,Nasty,spotify:track:3H7gEhaLSzrBaMcmw9LzM1
20,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami,spotify:album:0aT2vaDoEHDBVXDund2QsK,Repercussions (with Young Thug),spotify:track:5JgQZQB6yLH0Nry1IlRfD1
21,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami,spotify:album:0aT2vaDoEHDBVXDund2QsK,Vetement Socks,spotify:track:5BA5mh1AHxff8bKHgzrOaN
22,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami,spotify:album:0aT2vaDoEHDBVXDund2QsK,Don't Need Friends (feat. Lil Baby),spotify:track:0c2cLhOLG2URFecYm4Z0UJ
23,NAV,7rkW85dBwwrJtlHRDkJDAC,Emergency Tsunami,spotify:album:0aT2vaDoEHDBVXDund2QsK,Make It Right Back,spotify:track:5NvBhaeWDYCO0ycTRYZei9
