Beat Name,danceability,energy,key,loudness,acousticness,liveness,valence,tempo,duration_ms,major,minor
Beat One,0.939,0.324,3,-8.701,0.021,0.0956,0.369,122.028,157414,0,1
Beat Two,0.836,0.464,9,-7.246,0.0428,0.0803,0.509,130.01,147749,0,1
Beat Three,0.9,0.306,4,-7.371,0.0138,0.0832,0.594,140.015,150909,0,1
Beat Four,0.769,0.78,0,-8.302,0.00797,0.191,0.224,94,112379,1,0
Beat Five,0.676,0.345,4,-9.875,0.016,0.0822,0.14,105.951,108722,0,1
Beat Six,0.727,0.843,10,-7.366,0.197,0.0717,0.533,175.903,130952,0,1
Beat Seven,0.793,0.427,11,-7.178,0.000844,0.368,0.676,149.992,128052,0,1
Beat Eight,0.778,0.476,2,-8.945,0.0143,0.246,0.487,127.006,181473,0,1
Beat Nine,0.702,0.498,4,-6.978,0.0174,0.108,0.547,74.996,144039,0,1
Beat Ten,0.726,0.539,0,-7.994,0.0288,0.339,0.55,139.978,164624,0,1
